               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.052154,            0.076945,             0.01334,             0.76786,             0.81662,             0.85258,             0.39524,            0.049791,            0.066454,            0.012224,            0.009307,            0.009307,            0.009307
                  37,            0.051613,            0.074121,            0.013222,             0.73373,               0.823,             0.82805,             0.37824,            0.046883,            0.065775,             0.01103,           0.0092872,           0.0092872,           0.0092872
                  38,            0.053072,            0.077555,            0.012249,             0.86111,             0.84132,              0.8941,             0.40349,            0.044539,              0.0654,            0.011673,           0.0092674,           0.0092674,           0.0092674
                  39,             0.05471,            0.072749,            0.011861,             0.83108,             0.80364,             0.83696,             0.30747,            0.055454,            0.066699,            0.010094,           0.0092476,           0.0092476,           0.0092476
                  40,            0.050705,             0.07642,            0.012206,             0.75106,             0.82099,             0.84632,             0.38742,            0.047268,             0.06553,            0.010682,           0.0092278,           0.0092278,           0.0092278
                  41,            0.050927,            0.071627,            0.011077,             0.69403,             0.79203,              0.8003,             0.30606,            0.056074,            0.068309,           0.0097774,            0.009208,            0.009208,            0.009208
                  42,            0.051586,            0.075442,            0.010735,             0.83977,             0.84926,             0.90132,             0.39701,            0.046861,            0.066303,            0.010139,           0.0091882,           0.0091882,           0.0091882
                  43,             0.05073,             0.07551,            0.011334,             0.64715,             0.86127,             0.73066,             0.33878,            0.045918,            0.066534,             0.01113,           0.0091684,           0.0091684,           0.0091684
                  44,            0.050686,            0.075119,            0.010036,             0.82126,              0.7769,             0.81757,             0.30203,            0.056464,            0.066681,           0.0093308,           0.0091486,           0.0091486,           0.0091486
                  45,            0.051889,            0.077086,              0.0102,             0.88447,             0.87709,             0.92968,             0.45817,            0.042581,            0.064065,            0.010104,           0.0091288,           0.0091288,           0.0091288
                  46,             0.05211,            0.070676,            0.010853,             0.76145,             0.75413,             0.77925,             0.26916,            0.058744,            0.068559,           0.0085511,            0.009109,            0.009109,            0.009109
                  47,            0.051107,            0.075649,           0.0097663,             0.88913,              0.8721,             0.92526,             0.44148,            0.044303,            0.065607,           0.0086372,           0.0090892,           0.0090892,           0.0090892
                  48,            0.048145,            0.076388,            0.010006,             0.78511,              0.8818,              0.8959,             0.42591,             0.04602,            0.066659,            0.008325,           0.0090694,           0.0090694,           0.0090694
                  49,             0.04902,            0.069496,           0.0095885,             0.73756,             0.87425,             0.83107,             0.36034,            0.050613,            0.066596,           0.0082638,           0.0090496,           0.0090496,           0.0090496
                  50,            0.047578,            0.076907,           0.0097318,             0.90294,             0.88796,             0.92488,             0.43508,            0.044361,            0.065713,           0.0082171,           0.0090298,           0.0090298,           0.0090298
                  51,            0.047061,             0.07401,           0.0089282,              0.8861,             0.87583,             0.90956,             0.41162,            0.048322,            0.066458,            0.008004,             0.00901,             0.00901,             0.00901
                  52,             0.04959,            0.071582,           0.0081834,             0.89438,             0.89495,             0.92962,             0.45199,            0.043406,            0.065215,           0.0082529,           0.0089902,           0.0089902,           0.0089902
                  53,            0.046011,            0.068007,           0.0095286,             0.88618,             0.87872,             0.92394,             0.43797,            0.045959,            0.065809,           0.0081519,           0.0089704,           0.0089704,           0.0089704
                  54,            0.048245,            0.072278,           0.0098441,              0.9105,             0.90903,             0.94217,              0.4701,            0.042497,            0.064705,           0.0082317,           0.0089506,           0.0089506,           0.0089506
                  55,            0.046926,            0.069828,           0.0085442,             0.86516,             0.82387,             0.86429,             0.34924,            0.052496,            0.067012,           0.0079362,           0.0089308,           0.0089308,           0.0089308
                  56,            0.050081,            0.072009,           0.0084738,             0.92047,             0.88755,             0.93662,             0.46647,            0.043612,            0.064682,           0.0077833,            0.008911,            0.008911,            0.008911
                  57,            0.048853,            0.071645,           0.0083566,             0.87343,             0.87776,             0.90386,             0.35298,            0.051264,            0.066648,           0.0082073,           0.0088912,           0.0088912,           0.0088912
                  58,             0.04651,            0.072991,           0.0083443,             0.89704,             0.84557,             0.89669,             0.39917,            0.050077,            0.066988,           0.0075997,           0.0088714,           0.0088714,           0.0088714
                  59,            0.049371,            0.068529,           0.0081046,             0.90433,             0.89219,             0.92934,             0.43485,            0.044642,            0.065638,           0.0073203,           0.0088516,           0.0088516,           0.0088516
                  60,            0.046801,            0.069593,           0.0085382,             0.87862,             0.86542,             0.90292,             0.38089,            0.049196,             0.06648,           0.0070251,           0.0088318,           0.0088318,           0.0088318
                  61,            0.047875,            0.070225,           0.0084746,             0.88869,             0.91559,             0.93801,             0.47482,            0.041965,            0.064859,            0.006944,            0.008812,            0.008812,            0.008812
