               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 146,            0.041037,            0.066399,           0.0052045,             0.94156,             0.94411,             0.95125,             0.48769,            0.040741,            0.067255,           0.0046623,            0.007129,            0.007129,            0.007129
                 147,             0.03866,            0.062492,           0.0048367,             0.92348,             0.90411,             0.91844,             0.39762,            0.046805,            0.069926,           0.0049214,           0.0071092,           0.0071092,           0.0071092
                 148,            0.039768,            0.066693,           0.0050442,             0.93858,             0.92827,             0.93976,             0.47894,            0.041046,            0.067287,           0.0051741,           0.0070894,           0.0070894,           0.0070894
                 149,            0.039072,            0.061053,           0.0050733,             0.92054,             0.91862,             0.92662,             0.42271,            0.046803,            0.069506,           0.0049391,           0.0070696,           0.0070696,           0.0070696
                 150,            0.039153,            0.065513,           0.0053965,             0.91662,             0.91109,             0.92279,             0.39576,            0.048548,            0.071123,           0.0051155,           0.0070498,           0.0070498,           0.0070498
                 151,            0.042233,            0.067055,           0.0056315,             0.94053,             0.93017,             0.95224,             0.49691,            0.040277,            0.066789,           0.0051937,             0.00703,             0.00703,             0.00703
                 152,            0.039052,            0.062017,           0.0048947,             0.92472,             0.91013,              0.9232,             0.42821,            0.047299,            0.068113,           0.0051171,           0.0070102,           0.0070102,           0.0070102
                 153,            0.038568,            0.063711,           0.0052431,             0.93099,             0.92983,             0.94655,             0.48827,            0.040395,            0.066253,           0.0052743,           0.0069904,           0.0069904,           0.0069904
                 154,            0.039208,            0.065334,           0.0049632,             0.93379,             0.90624,             0.93351,             0.43961,            0.044748,            0.068876,           0.0054122,           0.0069706,           0.0069706,           0.0069706
                 155,            0.036224,            0.062756,           0.0044215,             0.92603,             0.90924,             0.92786,             0.44759,            0.044495,            0.068975,            0.004977,           0.0069508,           0.0069508,           0.0069508
                 156,            0.037513,            0.063513,           0.0047132,             0.92719,             0.92623,             0.93558,             0.47109,            0.041691,            0.069322,           0.0048138,            0.006931,            0.006931,            0.006931
                 157,            0.039453,            0.067767,           0.0050595,             0.89548,             0.90653,             0.91159,             0.42075,            0.046556,            0.070724,           0.0048996,           0.0069112,           0.0069112,           0.0069112
                 158,            0.037268,            0.065822,           0.0047271,             0.92124,             0.93158,             0.94189,             0.48104,            0.041175,            0.068641,           0.0049532,           0.0068914,           0.0068914,           0.0068914
                 159,            0.039303,            0.064923,           0.0048754,             0.91256,             0.90727,             0.92106,             0.43554,            0.045897,            0.070406,           0.0047815,           0.0068716,           0.0068716,           0.0068716
                 160,            0.037163,            0.063976,           0.0044788,              0.9267,             0.93075,             0.94763,             0.48474,            0.041751,            0.069544,           0.0051559,           0.0068518,           0.0068518,           0.0068518
                 161,            0.038227,            0.059353,            0.004115,             0.91397,             0.91049,              0.9282,             0.41121,            0.046935,            0.069782,           0.0052316,            0.006832,            0.006832,            0.006832
                 162,            0.038621,            0.060521,           0.0044451,              0.9239,             0.92142,             0.94337,             0.46925,            0.041263,            0.067658,           0.0048895,           0.0068122,           0.0068122,           0.0068122
                 163,            0.038235,            0.064594,            0.004649,             0.90772,             0.91373,             0.92471,             0.43947,            0.044621,            0.068737,           0.0051696,           0.0067924,           0.0067924,           0.0067924
                 164,            0.039322,            0.062831,           0.0047853,             0.91524,             0.91732,             0.93418,             0.48253,            0.040944,            0.067485,            0.005198,           0.0067726,           0.0067726,           0.0067726
                 165,            0.038623,            0.062924,           0.0047328,             0.91245,             0.91387,             0.92221,             0.42262,            0.047486,            0.070198,           0.0052051,           0.0067528,           0.0067528,           0.0067528
                 166,            0.040758,            0.061296,           0.0047797,             0.92479,             0.93025,             0.93922,             0.49331,            0.039918,            0.067212,           0.0052367,            0.006733,            0.006733,            0.006733
                 167,            0.037653,            0.063965,           0.0048449,             0.92685,             0.90974,             0.92811,             0.44777,            0.044207,            0.070621,           0.0052041,           0.0067132,           0.0067132,           0.0067132
                 168,            0.037385,            0.059611,           0.0051584,             0.93249,             0.91849,             0.93616,             0.47508,            0.041911,             0.06938,           0.0049525,           0.0066934,           0.0066934,           0.0066934
                 169,            0.038174,            0.060927,           0.0049154,             0.92694,             0.91059,             0.92914,             0.45572,             0.04447,            0.070023,           0.0048395,           0.0066736,           0.0066736,           0.0066736
                 170,            0.037686,            0.066129,           0.0045414,             0.93436,               0.923,              0.9412,             0.48577,            0.040781,            0.068584,           0.0049742,           0.0066538,           0.0066538,           0.0066538
                 171,            0.040008,            0.066257,           0.0047261,             0.91225,             0.91266,             0.92078,             0.41717,            0.046779,            0.070466,           0.0050169,            0.006634,            0.006634,            0.006634
                 172,            0.039133,            0.062312,            0.004576,             0.92577,             0.92695,              0.9357,             0.48602,            0.040697,            0.067909,           0.0047407,           0.0066142,           0.0066142,           0.0066142
                 173,            0.037924,             0.06424,           0.0050015,             0.93278,             0.92002,             0.92939,             0.44159,            0.044512,            0.069643,           0.0049765,           0.0065944,           0.0065944,           0.0065944
                 174,            0.036251,            0.059583,           0.0042891,             0.94428,             0.93081,             0.94801,             0.48899,            0.040699,            0.068148,           0.0052845,           0.0065746,           0.0065746,           0.0065746
                 175,            0.038598,            0.064049,           0.0047457,             0.92584,             0.90444,             0.92342,              0.4321,            0.046418,            0.070033,           0.0052588,           0.0065548,           0.0065548,           0.0065548
                 176,            0.038501,            0.063708,           0.0045868,             0.94121,             0.92017,             0.94844,             0.49111,            0.040394,            0.067295,           0.0056581,            0.006535,            0.006535,            0.006535
                 177,            0.036058,            0.064107,           0.0046522,             0.92789,             0.92875,             0.93962,             0.47879,            0.042166,            0.068391,           0.0048968,           0.0065152,           0.0065152,           0.0065152
                 178,            0.036361,            0.061242,           0.0045975,             0.92188,             0.91406,              0.9277,             0.44813,            0.044076,            0.069684,           0.0046526,           0.0064954,           0.0064954,           0.0064954
                 179,            0.036344,            0.063347,            0.004097,             0.94356,             0.91487,             0.94505,             0.49035,            0.040741,            0.068153,           0.0049133,           0.0064756,           0.0064756,           0.0064756
                 180,             0.03669,            0.062633,           0.0042315,             0.92474,             0.91882,             0.93292,             0.45336,            0.043514,            0.069487,           0.0045504,           0.0064558,           0.0064558,           0.0064558
                 181,            0.038072,            0.066862,           0.0046036,             0.93434,             0.94056,             0.94938,              0.4931,            0.040073,             0.06765,           0.0040463,            0.006436,            0.006436,            0.006436
                 182,            0.035772,            0.061461,           0.0041392,             0.92282,             0.91958,             0.93281,             0.43076,            0.045215,            0.070207,           0.0041274,           0.0064162,           0.0064162,           0.0064162
                 183,            0.038078,            0.064391,           0.0045558,             0.93443,             0.92046,              0.9352,             0.45665,            0.043126,            0.070066,           0.0042309,           0.0063964,           0.0063964,           0.0063964
                 184,            0.036583,             0.06189,           0.0043422,             0.93601,             0.92951,               0.942,             0.47574,            0.041916,            0.069486,           0.0040177,           0.0063766,           0.0063766,           0.0063766
                 185,             0.03671,            0.063963,           0.0045267,             0.92267,             0.91937,             0.92981,             0.39673,            0.048329,            0.072884,           0.0040377,           0.0063568,           0.0063568,           0.0063568
                 186,             0.03805,            0.063107,           0.0043997,             0.93622,             0.92354,             0.94129,             0.46108,            0.042383,            0.069966,           0.0042885,            0.006337,            0.006337,            0.006337
                 187,            0.034028,            0.060532,           0.0041878,             0.92915,             0.91985,             0.94122,             0.46633,             0.04248,            0.069968,           0.0045581,           0.0063172,           0.0063172,           0.0063172
                 188,            0.035126,            0.060909,           0.0042245,             0.93663,             0.91846,             0.94511,             0.48152,            0.040542,            0.069382,           0.0051053,           0.0062974,           0.0062974,           0.0062974
                 189,            0.037245,            0.059627,           0.0046653,              0.9297,              0.9167,             0.93253,             0.45779,            0.043231,            0.070234,           0.0052887,           0.0062776,           0.0062776,           0.0062776
                 190,            0.035743,            0.061438,           0.0043282,             0.93223,             0.92241,             0.93592,             0.44485,             0.04432,            0.070658,            0.005134,           0.0062578,           0.0062578,           0.0062578
                 191,            0.037138,            0.062486,           0.0044214,             0.93438,              0.9267,             0.94397,             0.49104,            0.040701,            0.069988,           0.0051355,            0.006238,            0.006238,            0.006238
                 192,            0.038303,            0.063016,            0.004353,             0.92066,             0.91454,              0.9291,             0.43046,            0.045178,            0.071226,           0.0050923,           0.0062182,           0.0062182,           0.0062182
                 193,            0.036905,            0.064277,           0.0042992,             0.94409,             0.93271,             0.95232,             0.49367,            0.040855,            0.068826,           0.0049404,           0.0061984,           0.0061984,           0.0061984
                 194,            0.036846,            0.062831,           0.0042101,             0.92964,             0.92709,             0.93654,               0.436,            0.045402,            0.070492,           0.0047238,           0.0061786,           0.0061786,           0.0061786
                 195,            0.036569,            0.063663,           0.0042708,             0.94034,             0.93089,             0.94417,             0.47097,            0.043313,            0.070118,           0.0044881,           0.0061588,           0.0061588,           0.0061588
                 196,            0.036854,            0.059995,           0.0041901,             0.93229,             0.92675,             0.94185,             0.46219,            0.043597,            0.070896,           0.0046373,            0.006139,            0.006139,            0.006139
                 197,            0.036626,            0.062158,           0.0043844,             0.94381,             0.93188,             0.94881,             0.48222,            0.041431,            0.069593,            0.004677,           0.0061192,           0.0061192,           0.0061192
                 198,            0.037667,            0.063458,           0.0044539,             0.92699,             0.91798,             0.93548,             0.46395,             0.04389,            0.070858,           0.0047393,           0.0060994,           0.0060994,           0.0060994
                 199,            0.036037,            0.061437,           0.0041886,             0.92913,             0.93229,               0.946,              0.4897,            0.040533,            0.068928,            0.004785,           0.0060796,           0.0060796,           0.0060796
                 200,            0.036129,             0.06586,           0.0042198,              0.9207,             0.91565,             0.93866,              0.4612,            0.043377,            0.069937,           0.0047802,           0.0060598,           0.0060598,           0.0060598
                 201,            0.035548,            0.057876,           0.0040218,             0.93116,             0.92508,             0.94629,             0.48492,            0.040796,            0.069274,           0.0047164,             0.00604,             0.00604,             0.00604
                 202,            0.037291,            0.062726,           0.0042391,              0.9231,             0.91111,             0.92292,             0.42772,            0.045486,            0.072328,           0.0047481,           0.0060202,           0.0060202,           0.0060202
                 203,            0.034367,            0.059272,           0.0042746,              0.9319,             0.92109,             0.93435,             0.47666,            0.041485,            0.070921,           0.0046234,           0.0060004,           0.0060004,           0.0060004
                 204,            0.035693,            0.059066,           0.0044484,              0.9266,             0.91157,             0.92793,             0.44059,            0.044575,            0.072418,           0.0045532,           0.0059806,           0.0059806,           0.0059806
                 205,            0.036107,            0.061017,           0.0041741,              0.9366,             0.92256,             0.94318,             0.48522,            0.041318,            0.071213,           0.0048979,           0.0059608,           0.0059608,           0.0059608
                 206,            0.036324,             0.06184,           0.0044742,             0.91982,             0.91351,             0.92426,             0.43162,            0.045044,              0.0714,            0.004914,            0.005941,            0.005941,            0.005941
                 207,            0.036555,            0.061072,           0.0043151,             0.93059,             0.92681,             0.94353,             0.47406,            0.041414,            0.069268,           0.0049251,           0.0059212,           0.0059212,           0.0059212
                 208,            0.035843,            0.063096,           0.0046514,             0.91636,             0.91227,             0.92626,             0.43978,            0.043664,            0.070841,            0.004823,           0.0059014,           0.0059014,           0.0059014
                 209,             0.03554,            0.057437,           0.0040894,             0.91958,             0.93546,               0.948,             0.49476,            0.040592,            0.070356,           0.0046838,           0.0058816,           0.0058816,           0.0058816
                 210,            0.034823,            0.059946,           0.0045192,             0.92333,             0.90518,             0.93777,             0.45432,            0.043561,             0.07223,           0.0045566,           0.0058618,           0.0058618,           0.0058618
                 211,            0.034522,            0.059935,            0.004084,             0.92679,             0.91325,             0.93692,             0.45909,            0.042392,            0.072248,           0.0044366,            0.005842,            0.005842,            0.005842
                 212,            0.033832,            0.061091,           0.0045348,             0.92775,             0.92168,             0.93616,             0.46207,            0.042844,            0.072236,           0.0046591,           0.0058222,           0.0058222,           0.0058222
                 213,            0.033866,             0.06013,           0.0040663,             0.91986,             0.92235,             0.94029,              0.4586,            0.042913,            0.071445,           0.0047511,           0.0058024,           0.0058024,           0.0058024
                 214,            0.035244,            0.062172,             0.00416,             0.94412,             0.92035,             0.94659,             0.47597,            0.041047,            0.070447,           0.0042927,           0.0057826,           0.0057826,           0.0057826
                 215,            0.033536,            0.059633,           0.0040258,             0.92117,             0.91102,             0.93017,             0.45128,             0.04337,            0.072496,           0.0041892,           0.0057628,           0.0057628,           0.0057628
                 216,            0.034854,             0.06074,           0.0039991,             0.92304,             0.91987,             0.94057,             0.47539,            0.040954,             0.07134,           0.0042846,            0.005743,            0.005743,            0.005743
                 217,            0.036326,            0.061884,           0.0044173,             0.91494,             0.91129,             0.91959,              0.4281,            0.045405,            0.073063,           0.0044254,           0.0057232,           0.0057232,           0.0057232
                 218,            0.037431,             0.05865,           0.0046482,             0.91385,             0.91413,             0.92739,             0.46182,            0.042973,            0.071707,           0.0049818,           0.0057034,           0.0057034,           0.0057034
                 219,            0.035159,            0.060035,           0.0043703,             0.92391,             0.93628,              0.9425,             0.48506,            0.041213,            0.071064,           0.0044048,           0.0056836,           0.0056836,           0.0056836
                 220,            0.034257,            0.063605,           0.0040492,              0.9121,             0.92473,             0.93467,             0.43355,            0.045207,            0.072752,           0.0044112,           0.0056638,           0.0056638,           0.0056638
                 221,            0.035293,            0.059396,           0.0042764,             0.92445,             0.92854,             0.94459,             0.47611,            0.041687,            0.071317,           0.0046906,            0.005644,            0.005644,            0.005644
                 222,            0.035674,            0.058665,           0.0039835,             0.92104,             0.90807,             0.92773,             0.42233,            0.046313,            0.073437,           0.0046908,           0.0056242,           0.0056242,           0.0056242
                 223,            0.036342,            0.063408,           0.0041874,             0.93132,             0.92448,             0.94384,             0.48262,            0.041186,             0.07018,           0.0047519,           0.0056044,           0.0056044,           0.0056044
                 224,            0.036675,            0.059886,           0.0042593,             0.92067,             0.90853,             0.92701,             0.43856,            0.044965,            0.071375,           0.0045975,           0.0055846,           0.0055846,           0.0055846
                 225,            0.035781,            0.061869,           0.0042054,             0.92788,              0.9299,             0.94447,             0.48538,            0.040722,            0.069766,           0.0045287,           0.0055648,           0.0055648,           0.0055648
                 226,            0.036149,            0.056999,           0.0041702,             0.92425,             0.91849,             0.93026,             0.44875,             0.04447,            0.070772,           0.0048261,            0.005545,            0.005545,            0.005545
                 227,             0.03533,            0.057089,           0.0041153,             0.92528,             0.91787,             0.93381,             0.47906,            0.041008,            0.069656,           0.0053061,           0.0055252,           0.0055252,           0.0055252
                 228,            0.035542,            0.059545,            0.004066,             0.92905,             0.90442,             0.93337,             0.45172,            0.044179,            0.072141,           0.0056949,           0.0055054,           0.0055054,           0.0055054
                 229,            0.035018,            0.059271,           0.0038244,             0.92042,             0.92569,             0.94427,             0.47135,            0.041507,            0.070962,           0.0049699,           0.0054856,           0.0054856,           0.0054856
                 230,            0.034229,            0.058747,           0.0039604,             0.92309,             0.92721,             0.94445,             0.46477,            0.042836,            0.071599,           0.0045028,           0.0054658,           0.0054658,           0.0054658
                 231,            0.034452,            0.059747,           0.0039658,              0.9292,             0.92278,             0.94118,             0.47623,            0.041715,            0.071123,           0.0046014,            0.005446,            0.005446,            0.005446
                 232,            0.035411,            0.060192,            0.004321,             0.92397,             0.91731,             0.93701,             0.45786,            0.043691,            0.071764,           0.0046331,           0.0054262,           0.0054262,           0.0054262
                 233,            0.035387,            0.058941,           0.0040821,             0.91209,             0.92234,             0.93761,             0.47358,            0.041799,            0.070902,           0.0049696,           0.0054064,           0.0054064,           0.0054064
                 234,            0.034294,            0.057616,            0.003769,             0.92236,             0.91135,             0.92962,             0.43256,            0.045173,            0.072851,           0.0049271,           0.0053866,           0.0053866,           0.0053866
                 235,            0.036715,            0.056965,           0.0042585,             0.92829,             0.92193,             0.94489,             0.48317,            0.041385,            0.071085,            0.004796,           0.0053668,           0.0053668,           0.0053668
                 236,             0.03479,            0.060226,           0.0040429,             0.91979,             0.92988,             0.93824,             0.45181,            0.043503,            0.071883,           0.0044205,            0.005347,            0.005347,            0.005347
                 237,            0.035145,            0.062309,           0.0040832,             0.92166,             0.91984,             0.93791,             0.48054,            0.041745,            0.071402,           0.0048243,           0.0053272,           0.0053272,           0.0053272
                 238,            0.033212,            0.056801,           0.0039423,             0.92015,             0.93026,              0.9371,             0.46271,            0.042997,            0.073103,           0.0047308,           0.0053074,           0.0053074,           0.0053074
                 239,            0.031718,            0.058775,           0.0037026,             0.91685,              0.9335,             0.94049,             0.47514,            0.042327,            0.073561,           0.0045784,           0.0052876,           0.0052876,           0.0052876
                 240,             0.03376,            0.056277,           0.0037424,             0.91159,             0.92492,             0.92699,             0.42097,            0.046073,            0.074552,           0.0048725,           0.0052678,           0.0052678,           0.0052678
                 241,            0.036385,            0.063058,           0.0042654,             0.93468,             0.92089,             0.94356,             0.48742,            0.041101,            0.070316,           0.0050077,            0.005248,            0.005248,            0.005248
                 242,            0.034187,            0.057208,           0.0042964,             0.92584,             0.91971,             0.93697,             0.46554,            0.042296,            0.070829,           0.0048775,           0.0052282,           0.0052282,           0.0052282
                 243,            0.033504,             0.05951,           0.0039639,              0.9391,             0.91469,             0.93699,             0.46395,            0.043009,            0.071785,           0.0049179,           0.0052084,           0.0052084,           0.0052084
                 244,            0.034198,            0.060989,           0.0040055,             0.94119,             0.91878,             0.94456,             0.48865,             0.04083,            0.070971,             0.00468,           0.0051886,           0.0051886,           0.0051886
                 245,            0.034783,            0.061455,           0.0042393,             0.92669,             0.92384,             0.93311,             0.44747,            0.044482,            0.072786,           0.0044423,           0.0051688,           0.0051688,           0.0051688
                 246,            0.034176,            0.058456,           0.0038871,             0.93847,             0.93187,             0.94692,             0.49475,             0.04041,            0.070955,           0.0045042,            0.005149,            0.005149,            0.005149
                 247,            0.034658,            0.056809,           0.0038283,              0.9339,             0.91857,             0.93467,             0.45622,            0.043527,            0.072002,           0.0047958,           0.0051292,           0.0051292,           0.0051292
                 248,            0.033974,            0.058481,           0.0041805,             0.93719,             0.92171,             0.93907,             0.47929,            0.041701,            0.071563,            0.004988,           0.0051094,           0.0051094,           0.0051094
                 249,             0.03393,             0.05682,           0.0038787,             0.92656,             0.91712,             0.92619,              0.4337,            0.045307,            0.073352,           0.0050201,           0.0050896,           0.0050896,           0.0050896
                 250,            0.033222,            0.058845,           0.0040469,             0.92596,             0.91814,             0.93169,             0.45968,            0.043416,            0.072655,           0.0047442,           0.0050698,           0.0050698,           0.0050698
                 251,            0.035123,            0.057494,           0.0042523,             0.93044,             0.93262,             0.94104,             0.48278,            0.041179,            0.072133,           0.0047938,             0.00505,             0.00505,             0.00505
